Matricula,Espanol,Matematicas,Naturales,Geografia,Civismo,PromedioFinal
UAPM0000001,80.0,90.0,70.0,100.0,80.0,84.0
UAPM0000002,100.0,90.0,100.0,80.0,70.0,88.0
UAPM0000003,100.0,100.0,100.0,100.0,100.0,100.0
UAPM0000004,70.0,60.0,70.0,80.0,60.0,68.0
UAPM0000005,70.0,80.0,70.0,70.0,80.0,74.0
UAPM0000006,80.0,70.0,60.0,60.0,70.0,68.0
UAPM0000008,100.0,90.0,90.0,100.0,80.0,92.0
UAPM0000009,90.0,80.0,80.0,70.0,70.0,78.0
UAPM0000010,0.0,0.0,0.0,0.0,0.0,0.0
UAPM0000099,80.0,70.0,90.0,90.0,90.0,84.0
UAPM0000098,100.0,100.0,100.0,100.0,90.0,98.0
UAPM0000097,100.0,80.0,76.0,89.0,88.0,86.6
UAPM0000096,100.0,98.0,89.0,85.0,100.0,94.4
UAPM0000094,100.0,90.0,80.0,90.0,100.0,92.0
